[22:42:15.107] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.117] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.137] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.157] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.167] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.187] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.207] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.217] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.237] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.257] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.557] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.567] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.587] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.606] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.617] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.637] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.657] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.666] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.687] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.707] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.717] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.737] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.757] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.766] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.807] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.837] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.856] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.867] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.937] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:15.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.257] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.266] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.287] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.307] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.317] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.337] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.357] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.367] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.387] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.407] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.417] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.436] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.457] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.467] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.486] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.507] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.517] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.537] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.557] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.567] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.587] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.607] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.616] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.637] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.657] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.837] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.856] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.866] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.937] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.967] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:16.987] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.006] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.017] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.037] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.057] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.067] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.086] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.107] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.117] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.137] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.156] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.166] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.187] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.207] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.217] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.617] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.638] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.657] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.667] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.687] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.707] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.717] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.736] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.757] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.766] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.807] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.836] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.856] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.866] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.937] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.967] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:17.987] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.007] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.017] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.456] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.466] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.487] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.506] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.516] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.537] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.557] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.567] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.587] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.607] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.617] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.637] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.657] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.667] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.687] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.707] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.717] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.737] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.756] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.767] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.806] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.837] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.856] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.866] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.937] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.966] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:18.987] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.007] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.017] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.037] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.057] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.067] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.086] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.106] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.116] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.136] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.156] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.167] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.187] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.206] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.217] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.236] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.257] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.267] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.287] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.307] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.317] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.337] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.356] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.367] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.387] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.406] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.417] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.437] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.457] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.467] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.487] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.506] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.517] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.537] [INFO] [APP] Collision detected between entity 2 and 1
